Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,.371,.300,.750,19.1,5.7,2.3,1.8,-0.3,-.011,-5.3,-0.9
13,IND,Chris Duarte,Oregon,4,177,3231,1348,467,231,.406,.349,.813,18.3,7.6,2.6,1.3,1.9,.028,-3.0,-0.8
14,GSW,Moses Moody,Arkansas,4,255,4229,1787,570,227,.449,.367,.775,16.6,7.0,2.2,0.9,8.5,.097,-1.2,0.8
15,WAS,Corey Kispert,Gonzaga,4,292,7563,3229,822,431,.474,.382,.805,25.9,11.1,2.8,1.5,9.3,.059,-2.3,-0.6
16,OKC,Alperen Şengün,,4,286,8101,4583,2446,1160,.518,.272,.701,28.3,16.0,8.6,4.1,22.5,.133,2.7,9.7
17,MEM,Trey Murphy III,Virginia,4,251,6856,3448,976,462,.454,.383,.875,27.3,13.7,3.9,1.8,18.4,.129,1.3,5.7
18,OKC,Tre Mann,Florida,4,181,3856,1707,513,415,.411,.350,.788,21.3,9.4,2.8,2.3,1.9,.024,-3.3,-1.2
19,NYK,Kai Jones,Texas,3,107,1081,377,259,44,.671,.231,.682,10.1,3.5,2.4,0.4,2.8,.126,-1.2,0.2
20,ATL,Jalen Johnson,Duke,4,184,4335,2023,1155,470,.504,.323,.712,23.6,11.0,6.3,2.6,8.4,.093,1.0,3.3
21,NYK,Keon Johnson,Tennessee,4,161,3098,1326,429,313,.379,.324,.765,19.2,8.2,2.7,1.9,-0.3,-.005,-4.2,-1.7
22,LAL,Isaiah Jackson,Kentucky,4,163,2438,1170,697,116,.595,.206,.671,15.0,7.2,4.3,0.7,7.7,.151,-0.1,1.1
23,HOU,Usman Garuba,,3,105,1228,276,397,82,.467,.363,.625,11.7,2.6,3.8,0.8,2.3,.090,-1.4,0.2
24,HOU,Josh Christopher,Arizona State,3,152,2189,987,266,231,.451,.273,.737,14.4,6.5,1.8,1.5,0.2,.003,-3.9,-1.1
25,LAC,Quentin Grimes,Houston,4,243,5945,2525,747,488,.444,.375,.763,24.5,10.4,3.1,2.0,10.8,.087,-0.3,2.5
26,DEN,Bones Hyland,VCU,4,186,3174,1762,403,488,.398,.364,.848,17.1,9.5,2.2,2.6,4.3,.065,-0.9,0.9
27,BRK,Cam Thomas,LSU,4,215,4980,3255,553,442,.439,.345,.860,23.2,15.1,2.6,2.1,5.5,.053,-1.8,0.3
28,PHI,Jaden Springer,Tennessee,4,110,967,316,152,85,.409,.238,.773,8.8,2.9,1.4,0.8,1.4,.068,-2.7,-0.2
29,PHO,DayRon Sharpe,UNC,4,191,2771,1237,1079,230,.550,.295,.648,14.5,6.5,5.6,1.2,8.4,.146,-0.6,1.0
30,UTA,Santi Aldama,Loyola (MD),4,235,5320,2293,1226,444,.459,.345,.692,22.6,9.8,5.2,1.9,12.2,.110,0.7,3.6
31,MIL,Isaiah Todd,,2,18,135,29,24,8,.222,.192,.500,7.5,1.6,1.3,0.4,-0.3,-.124,-10.2,-0.3
32,NYK,Jeremiah Robinson-Earl,Villanova,4,197,3474,1191,845,201,.441,.342,.796,17.6,6.0,4.3,1.0,5.7,.079,-2.1,-0.1
33,ORL,Jason Preston,Ohio University,2,21,195,53,39,43,.400,.238,.000,9.3,2.5,1.9,2.0,0.1,.023,-2.6,0.0
34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,
35,NOP,Herbert Jones,Alabama,4,240,7255,2433,915,593,.477,.366,.824,30.2,10.1,3.8,2.5,15.6,.104,-0.4,3.0
36,OKC,Miles McBride,West Virginia,4,236,4053,1484,353,414,.405,.360,.780,17.2,6.3,1.5,1.8,7.9,.093,-0.8,1.2
37,DET,JT Thor,Auburn,4,185,2261,599,389,90,.419,.317,.651,12.2,3.2,2.1,0.5,1.2,.026,-4.5,-1.5
38,CHI,Ayo Dosunmu,Illinois,4,279,7814,2856,811,912,.502,.361,.773,28.0,10.2,2.9,3.3,12.6,.077,-1.7,0.6
39,SAC,Neemias Queta,Utah State University,4,110,1345,521,400,72,.627,.000,.713,12.2,4.7,3.6,0.7,5.2,.186,-0.6,0.5
40,NOP,Jared Butler,Baylor,4,148,2047,990,217,417,.450,.341,.818,13.8,6.7,1.5,2.8,2.5,.059,-1.5,0.3
41,SAS,Joe Wieskamp,Iowa,2,38,255,70,18,12,.329,.309,.538,6.7,1.8,0.5,0.3,0.1,.013,-5.3,-0.2
42,DET,Isaiah Livers,Michigan,3,94,2051,581,248,87,.407,.358,.789,21.8,6.2,2.6,0.9,1.6,.037,-3.2,-0.6
43,NOP,Greg Brown III,Texas,3,70,773,268,163,42,.424,.296,.616,11.0,3.8,2.3,0.6,0.2,.015,-5.1,-0.6
44,BRK,Kessler Edwards,Pepperdine,4,178,2255,645,390,111,.428,.360,.786,12.7,3.6,2.2,0.6,2.7,.058,-2.9,-0.5
45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,
46,TOR,Dalano Banton,Nebraska,4,216,3142,1463,482,422,.402,.304,.728,14.5,6.8,2.2,2.0,2.1,.032,-1.5,0.4
47,TOR,David Johnson,Louisville,1,2,2,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,-.495,-27.7,0.0
48,ATL,Sharife Cooper,Auburn,1,13,39,7,5,5,.214,.167,,3.0,0.5,0.4,0.4,-0.2,-.297,-16.3,-0.1
49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,
50,PHI,Filip Petrušev,Gonzaga,1,3,10,3,1,0,.500,,.500,3.3,1.0,0.3,0.0,0.0,.029,-8.0,0.0
51,MEM,Brandon Boston Jr.,Kentucky,4,147,2346,1101,327,176,.412,.328,.781,16.0,7.5,2.2,1.2,1.0,.021,-3.7,-1.0
52,DET,Luka Garza,Iowa,4,124,973,604,248,53,.490,.314,.699,7.8,4.9,2.0,0.4,2.9,.143,-1.9,0.0
53,PHI,Charles Bassey,Western Kentucky,4,113,1257,488,483,93,.631,.231,.648,11.1,4.3,4.3,0.8,3.8,.145,0.4,0.8
54,IND,Sandro Mamukelashvili,Seton Hall,4,191,2199,992,601,181,.471,.348,.731,11.5,5.2,3.1,0.9,5.2,.113,-0.2,1.0
55,OKC,Aaron Wiggins,Maryland,4,274,5478,2351,869,368,.504,.389,.794,20.0,8.6,3.2,1.3,12.9,.113,-0.9,1.5
56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,.500,3.5,0.5,0.0,0.5,0.0,.164,6.0,0.0
57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,
58,NYK,Jericho Sims,Texas,4,191,2584,458,755,104,.714,.000,.585,13.5,2.4,4.0,0.5,6.9,.128,-1.7,0.2
59,BRK,RaiQuan Gray,Florida State,2,4,74,39,16,13,.552,.417,1.000,18.5,9.8,4.0,3.3,0.2,.149,2.9,0.1
60,IND,Georgios Kalaitzakis,,1,13,213,86,21,12,.463,.385,.467,16.4,6.6,1.6,0.9,-0.1,-.024,-7.0,-0.3
1,MIN,Anthony Edwards,Georgia,5,381,13263,9097,2017,1600,.446,.364,.804,34.8,23.9,5.3,4.2,24.8,.090,1.7,12.3
2,GSW,James Wiseman,Memphis,4,148,2799,1350,830,110,.560,.262,.683,18.9,9.1,5.6,0.7,4.3,.074,-3.9,-1.4
3,CHO,LaMelo Ball,,5,231,7375,4859,1379,1710,.421,.365,.837,31.9,21.0,6.0,7.4,13.6,.089,2.9,9.1
4,CHI,Patrick Williams,Florida State,5,276,7478,2636,1126,404,.452,.392,.769,27.1,9.6,4.1,1.5,8.4,.054,-2.3,-0.5
5,CLE,Isaac Okoro,Auburn,5,334,8746,2708,930,536,.467,.351,.731,26.2,8.1,2.8,1.6,16.0,.088,-2.0,0.0
6,ATL,Onyeka Okongwu,USC,5,307,6911,2960,2058,394,.614,.322,.755,22.5,9.6,6.7,1.3,24.9,.173,0.5,4.4
7,DET,Killian Hayes,,5,216,5641,1758,637,1121,.383,.281,.777,26.1,8.1,2.9,5.2,-0.2,-.002,-3.8,-2.6
8,NYK,Obi Toppin,Dayton,5,362,6238,3074,1231,428,.523,.355,.771,17.2,8.5,3.4,1.2,16.6,.128,1.1,4.8
9,WAS,Deni Avdija,,5,359,9679,4045,2236,1008,.462,.337,.753,27.0,11.3,6.2,2.8,14.7,.073,-1.0,2.5
10,PHO,Jalen Smith,Maryland,5,271,4368,2290,1432,222,.505,.332,.754,16.1,8.5,5.3,0.8,12.0,.132,-0.2,2.0
11,SAS,Devin Vassell,Florida State,5,303,8402,4280,1144,788,.444,.369,.806,27.7,14.1,3.8,2.6,11.9,.068,-0.5,3.1
12,SAC,Tyrese Haliburton,Iowa State,5,333,10998,5842,1218,2947,.477,.392,.855,33.0,17.5,3.7,8.8,37.6,.164,4.8,18.9
13,NOP,Kira Lewis Jr.,Alabama,4,131,1745,687,169,233,.397,.294,.848,13.3,5.2,1.3,1.8,1.3,.036,-3.5,-0.6
14,BOS,Aaron Nesmith,Vanderbilt,5,288,6177,2570,946,305,.463,.385,.828,21.4,8.9,3.3,1.1,10.5,.082,-1.9,0.2
15,ORL,Cole Anthony,UNC,5,320,7935,4015,1372,1223,.419,.345,.847,24.8,12.5,4.3,3.8,11.0,.066,-0.6,2.9
16,POR,Isaiah Stewart,Washington,5,307,7542,2631,2177,407,.507,.345,.733,24.6,8.6,7.1,1.3,15.4,.098,-1.7,0.5
17,MIN,Aleksej Pokusevski,,4,168,3429,1253,778,327,.391,.304,.702,20.4,7.5,4.6,1.9,-0.2,-.002,-3.1,-1.0
18,DAL,Josh Green,Arizona,5,291,6415,1941,777,448,.482,.380,.687,22.0,6.7,2.7,1.5,9.2,.069,-2.9,-1.5
19,BRK,Saddiq Bey,Villanova,4,292,8804,4103,1532,538,.408,.352,.842,30.2,14.1,5.2,1.8,14.6,.079,-0.7,2.9
20,MIA,Precious Achiuwa,Memphis,5,320,6396,2420,1813,313,.484,.304,.606,20.0,7.6,5.7,1.0,11.8,.089,-2.3,-0.4
21,PHI,Tyrese Maxey,Kentucky,5,318,10187,6202,952,1403,.461,.381,.866,32.0,19.5,3.0,4.4,26.5,.125,1.3,8.6
22,DEN,Zeke Nnaji,Arizona,5,251,3007,1053,566,100,.509,.362,.653,12.0,4.2,2.3,0.4,6.7,.107,-2.6,-0.4
23,NYK,Leandro Bolmaro,,2,49,309,56,50,28,.270,.227,.846,6.3,1.1,1.0,0.6,-0.3,-.048,-7.8,-0.5
24,MIL,R.J. Hampton,,4,170,3116,1155,466,307,.408,.338,.679,18.3,6.8,2.7,1.8,0.8,.013,-3.8,-1.4
25,OKC,Immanuel Quickley,Kentucky,5,324,8292,4542,1097,1203,.421,.375,.858,25.6,14.0,3.4,3.7,21.3,.124,1.2,6.7
26,BOS,Payton Pritchard,Oregon,5,347,7008,3153,952,883,.454,.399,.856,20.2,9.1,2.7,2.5,20.9,.143,1.2,5.8
27,UTA,Udoka Azubuike,Kansas,4,84,724,256,235,14,.758,,.444,8.6,3.0,2.8,0.2,2.0,.133,-1.5,0.1
28,LAL,Jaden McDaniels,Washington,5,366,10449,3784,1526,562,.482,.348,.752,28.5,10.3,4.2,1.5,17.9,.082,-1.8,0.5
29,TOR,Malachi Flynn,San Diego State,5,217,3076,1184,376,414,.387,.333,.747,14.2,5.5,1.7,1.9,2.9,.045,-2.6,-0.5
30,BOS,Desmond Bane,TCU,5,313,9274,5580,1438,1179,.472,.410,.883,29.6,17.8,4.6,3.8,25.5,.132,2.4,10.4
31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,.353,.000,.333,4.5,1.0,0.5,0.5,0.0,-.035,-4.8,0.0
32,CHO,Vernon Carey Jr.,Duke,3,37,187,72,50,5,.474,.143,.654,5.1,1.9,1.4,0.1,0.2,.058,-6.3,-0.2
33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,.431,.167,.706,5.7,1.9,1.6,0.3,0.3,.086,-5.2,-0.2
34,PHI,Théo Maledon,,4,177,3753,1373,489,518,.372,.310,.793,21.2,7.8,2.8,2.9,-0.2,-.002,-4.6,-2.4
35,SAC,Xavier Tillman Sr.,Michigan State,5,260,4171,1389,978,317,.509,.252,.577,16.0,5.3,3.8,1.2,10.0,.115,-0.1,2.0
36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-.033,-9.5,-0.1
37,WAS,Vit Krejci,,4,138,2549,770,335,271,.465,.394,.760,18.5,5.6,2.4,2.0,4.0,.076,-2.2,-0.1
38,UTA,Saben Lee,Vanderbilt,4,134,1943,697,260,378,.421,.271,.734,14.5,5.2,1.9,2.8,3.5,.085,-1.4,0.3
39,NOP,Elijah Hughes,Syracuse,2,54,498,157,67,28,.328,.280,.769,9.2,2.9,1.2,0.5,-0.4,-.039,-6.4,-0.5
40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,.278,.200,.500,3.5,1.1,1.1,0.2,-0.1,-.077,-7.7,-0.1
41,SAS,Tre Jones,Duke,5,297,6444,2483,826,1390,.488,.311,.839,21.7,8.4,2.8,4.7,14.5,.108,-0.5,2.5
42,NOP,Nick Richards,Kentucky,5,257,4662,1878,1518,156,.640,.200,.738,18.1,7.3,5.9,0.6,13.3,.137,-2.4,-0.5
43,SAC,Jahmius Ramsey,Texas Tech,3,39,349,147,45,21,.416,.271,.680,8.9,3.8,1.2,0.5,-0.1,-.008,-5.4,-0.3
44,CHI,Marko Simonovic,,2,16,55,23,12,0,.273,.222,.692,3.4,1.4,0.8,0.0,0.0,-.026,-12.3,-0.1
45,MIL,Jordan Nwora,Louisville,4,206,3359,1564,659,216,.433,.376,.807,16.3,7.6,3.2,1.0,3.0,.043,-2.8,-0.7
46,POR,CJ Elleby,Washington State,2,88,1366,407,259,97,.390,.275,.717,15.5,4.6,2.9,1.1,0.5,.018,-5.2,-1.1
47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,.342,.367,.821,12.1,4.1,1.5,2.3,0.2,.029,-3.9,-0.2
49,PHI,Isaiah Joe,Arkansas,5,321,5436,2434,643,361,.431,.402,.837,16.9,7.6,2.0,1.1,13.5,.119,0.1,2.9
50,ATL,Skylar Mays,LSU,4,105,1111,451,122,182,.445,.345,.859,10.6,4.3,1.2,1.7,2.1,.092,-0.7,0.4
51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,SAC,KJ Martin,,5,309,6674,2652,1247,371,.545,.329,.673,21.6,8.6,4.0,1.2,12.4,.089,-1.8,0.4
53,OKC,Cassius Winston,Michigan State,2,29,137,55,10,19,.409,.435,.900,4.7,1.9,0.3,0.7,0.1,.051,-4.9,-0.1
54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,.360,.233,.895,7.5,2.7,1.2,0.2,0.0,-.006,-7.9,-0.4
55,BRK,Jay Scrubb,John A. Logan College,3,24,235,97,36,10,.416,.313,.765,9.8,4.0,1.5,0.4,-0.1,-.014,-6.6,-0.3
56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,.667,.500,,3.9,2.6,0.1,0.4,0.1,.177,5.1,0.0
57,LAC,Reggie Perry,Mississippi State,2,36,398,170,120,26,.459,.189,.679,11.1,4.7,3.3,0.7,0.4,.048,-5.5,-0.3
58,PHI,Paul Reed,DePaul,5,260,3262,1275,1026,208,.548,.305,.705,12.5,4.9,3.9,0.8,11.5,.169,0.7,2.2
59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,.500,.472,.778,13.2,7.4,1.4,1.3,0.3,.079,0.3,0.1
60,NOP,Sam Merrill,Utah State University,5,173,2820,1133,323,246,.405,.386,.925,16.3,6.5,1.9,1.4,6.8,.116,0.2,1.5
1,NOP,Zion Williamson,Duke,5,214,6714,5279,1415,920,.589,.327,.689,31.4,24.7,6.6,4.3,24.2,.173,4.9,11.8
2,MEM,Ja Morant,Murray State,6,307,9801,6942,1448,2267,.469,.316,.766,31.9,22.6,4.7,7.4,24.1,.118,2.7,11.8
3,NYK,RJ Barrett,Duke,6,387,12814,7293,2150,1276,.441,.346,.697,33.1,18.8,5.6,3.3,13.3,.050,-1.7,0.9
4,LAL,De'Andre Hunter,Virginia,6,327,9820,4839,1336,497,.452,.373,.819,30.0,14.8,4.1,1.5,12.1,.059,-2.6,-1.5
5,CLE,Darius Garland,Vanderbilt,6,382,12693,7204,1015,2558,.453,.388,.867,33.2,18.9,2.7,6.7,24.6,.093,0.3,7.3
6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,.401,.276,.509,17.2,6.5,2.8,1.2,-0.1,-.001,-4.5,-1.6
7,CHI,Coby White,UNC,6,422,12566,6405,1539,1618,.433,.369,.865,29.8,15.2,3.6,3.8,17.9,.069,-1.5,1.5
8,ATL,Jaxson Hayes,Texas,6,367,6022,2494,1443,259,.649,.261,.696,16.4,6.8,3.9,0.7,20.1,.160,-0.4,2.5
9,WAS,Rui Hachimura,Gonzaga,6,337,9345,4318,1638,439,.496,.381,.764,27.7,12.8,4.9,1.3,15.6,.080,-1.9,0.2
10,ATL,Cam Reddish,Duke,6,254,5876,2151,678,297,.398,.322,.821,23.1,8.5,2.7,1.2,3.3,.027,-3.1,-1.7
11,MIN,Cameron Johnson,UNC,6,340,9020,4395,1342,664,.453,.392,.851,26.5,12.9,3.9,2.0,22.9,.122,1.6,8.2
12,CHO,P.J. Washington,Kentucky,6,390,11917,5121,2282,878,.448,.358,.709,30.6,13.1,5.9,2.3,14.8,.060,-1.2,2.4
13,MIA,Tyler Herro,Kentucky,6,361,11763,6987,1802,1460,.448,.382,.874,32.6,19.4,5.0,4.0,19.9,.081,0.7,8.0
14,BOS,Romeo Langford,Indiana,4,141,2268,650,298,97,.430,.288,.659,16.1,4.6,2.1,0.7,2.0,.043,-3.4,-0.8
15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,.388,.256,.693,17.1,5.6,2.8,0.7,-0.4,-.013,-6.5,-1.8
16,ORL,Chuma Okeke,Auburn,5,198,4028,1242,751,291,.387,.321,.787,20.3,6.3,3.8,1.5,5.0,.060,-1.1,1.0
17,BRK,Nickeil Alexander-Walker,Virginia Tech,6,381,7942,3258,948,882,.414,.360,.743,20.8,8.6,2.5,2.3,10.2,.062,-1.2,1.6
18,IND,Goga Bitadze,,6,319,4605,1732,1319,370,.541,.230,.662,14.4,5.4,4.1,1.2,14.9,.155,0.8,3.3
19,SAS,Luka Šamanić,,4,86,921,384,210,55,.411,.247,.706,10.7,4.5,2.4,0.6,0.0,.001,-5.6,-0.8
20,BOS,Matisse Thybulle,Washington,6,347,7269,1698,710,388,.438,.343,.661,20.9,4.9,2.0,1.1,14.1,.093,0.9,5.3
21,OKC,Brandon Clarke,Gonzaga,6,307,6392,3136,1683,409,.606,.266,.698,20.8,10.2,5.5,1.3,24.6,.185,2.4,7.1
22,BOS,Grant Williams,Tennessee,6,380,8710,2724,1393,552,.452,.377,.774,22.9,7.2,3.7,1.5,15.5,.085,-1.9,0.3
23,UTA,Darius Bazley,,5,237,5536,2113,1244,282,.414,.309,.677,23.4,8.9,5.2,1.2,3.1,.027,-2.4,-0.6
24,PHI,Ty Jerome,Virginia,6,229,4140,1986,467,648,.458,.381,.850,18.1,8.7,2.0,2.8,9.9,.114,0.4,2.5
25,POR,Nassir Little,UNC,5,237,3735,1313,688,170,.452,.330,.735,15.8,5.5,2.9,0.7,4.7,.061,-2.6,-0.5
26,CLE,Dylan Windler,Belmont,4,101,1090,319,212,78,.425,.347,.800,10.8,3.2,2.1,0.8,1.6,.072,-1.4,0.2
27,BRK,Mfiondu Kabengele,Florida State,3,55,380,143,81,19,.383,.301,.852,6.9,2.6,1.5,0.3,0.4,.055,-3.6,-0.2
28,GSW,Jordan Poole,Michigan,6,412,11350,6942,1110,1552,.422,.345,.879,27.5,16.8,2.7,3.8,11.3,.048,-1.7,0.8
29,SAS,Keldon Johnson,Kentucky,6,370,10600,5761,1992,797,.467,.352,.762,28.6,15.6,5.4,2.2,16.7,.076,-1.3,1.8
30,MIL,Kevin Porter Jr.,USC,5,271,7410,3779,1120,1243,.435,.351,.734,27.3,13.9,4.1,4.6,6.2,.040,-1.4,1.2
31,BRK,Nic Claxton,Georgia,6,311,8024,3214,2397,535,.636,.200,.537,25.8,10.3,7.7,1.7,26.1,.156,1.3,6.8
32,PHO,KZ Okpala,Stanford,4,98,965,222,148,47,.409,.286,.667,9.8,2.3,1.5,0.5,1.0,.050,-4.7,-0.7
33,PHI,Carsen Edwards,Purdue,3,72,706,267,79,52,.364,.297,.758,9.8,3.7,1.1,0.7,0.3,.019,-5.1,-0.5
34,PHI,Bruno Fernando,Maryland,6,220,2326,872,712,161,.543,.122,.653,10.6,4.0,3.2,0.7,3.8,.079,-3.0,-0.6
35,ATL,Didi Louzada,,2,12,185,43,20,8,.326,.355,1.000,15.4,3.6,1.7,0.7,-0.1,-.034,-8.1,-0.3
36,CHO,Cody Martin,Nevada,6,259,5678,1593,961,580,.436,.308,.661,21.9,6.2,3.7,2.2,7.2,.061,-1.7,0.4
37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,.300,.314,.500,7.0,1.9,1.5,0.3,-0.1,-.032,-5.9,-0.2
38,CHI,Daniel Gafford,Arkansas,6,378,7489,3497,2127,397,.709,.000,.672,19.8,9.3,5.6,1.1,31.1,.199,1.9,7.4
39,NOP,Alen Smailagić,,2,29,223,87,43,17,.463,.304,.720,7.7,3.0,1.5,0.6,0.3,.056,-3.3,-0.1
40,SAC,Justin James,Wyoming,2,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.1,-0.2
41,GSW,Eric Paschall,Villanova,3,158,3086,1552,509,214,.494,.326,.758,19.5,9.8,3.2,1.4,5.0,.078,-2.2,-0.1
42,PHI,Admiral Schofield,Tennessee,4,131,1372,426,215,78,.417,.326,.782,10.5,3.3,1.6,0.6,1.2,.043,-4.6,-0.9
43,MIN,Jaylen Nowell,Washington,6,205,3519,1815,445,380,.442,.316,.792,17.2,8.9,2.2,1.9,4.7,.064,-2.1,-0.1
44,MIA,Bol Bol,Oregon,6,202,2750,1243,709,126,.545,.332,.749,13.6,6.2,3.5,0.6,5.0,.088,-0.4,1.1
45,DET,Isaiah Roby,Nebraska,4,151,2858,1159,667,216,.485,.351,.675,18.9,7.7,4.4,1.4,4.0,.068,-2.3,-0.2
46,ORL,Talen Horton-Tucker,Iowa State,6,305,5942,2809,800,852,.427,.299,.771,19.5,9.2,2.6,2.8,6.0,.049,-2.0,0.0
47,SAC,Ignas Brazdeikis,Michigan,3,64,838,318,122,58,.416,.315,.686,13.1,5.0,1.9,0.9,0.4,.024,-4.9,-0.6
48,LAC,Terance Mann,Florida State,6,412,9101,3331,1451,790,.502,.372,.781,22.1,8.1,3.5,1.9,21.5,.113,-0.8,2.8
49,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,88,32,24,.452,.188,.826,6.5,2.1,0.8,0.6,0.2,.030,-5.5,-0.2
50,IND,Jarrell Brantley,College of Charleston,3,41,273,110,53,29,.457,.380,.833,6.7,2.7,1.3,0.7,0.6,.108,0.0,0.1
51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,.354,.296,.960,10.2,3.7,0.9,2.1,0.1,.012,-3.0,-0.1
52,CHO,Jalen McDaniels,San Diego State,6,252,4550,1699,829,292,.449,.322,.777,18.1,6.7,3.3,1.2,5.3,.056,-3.3,-1.5
53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
55,NYK,Kyle Guy,Virginia,3,53,431,165,53,50,.361,.303,.750,8.1,3.1,1.0,0.9,0.1,.006,-4.9,-0.3
56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.010,-5.9,-0.2
58,GSW,Miye Oni,Yale,3,80,672,145,108,37,.350,.330,.750,8.4,1.8,1.4,0.5,1.0,.070,-2.5,-0.1
59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
1,PHO,Deandre Ayton,Arizona,7,398,12272,6542,4167,649,.590,.230,.755,30.8,16.4,10.5,1.6,37.6,.147,0.8,8.7
2,SAC,Marvin Bagley III,Duke,7,289,6474,3479,1889,253,.518,.290,.690,22.4,12.0,6.5,0.9,12.6,.093,-1.6,0.6
3,ATL,Luka Dončić,,7,450,15712,12878,3881,3700,.468,.350,.751,34.9,28.6,8.6,8.2,57.1,.175,7.6,38.2
4,MEM,Jaren Jackson Jr.,Michigan State,7,407,11639,7518,2258,602,.466,.351,.792,28.6,18.5,5.5,1.5,28.8,.119,0.9,8.7
5,DAL,Trae Young,Oklahoma,7,483,16622,12220,1687,4748,.433,.352,.873,34.4,25.3,3.5,9.8,43.3,.125,2.6,19.3
6,ORL,Mo Bamba,Texas,7,364,6115,2461,1980,306,.477,.356,.682,16.8,6.8,5.4,0.8,15.6,.123,0.0,3.1
7,CHI,Wendell Carter Jr.,Duke,7,383,10447,4565,3173,765,.509,.316,.729,27.3,11.9,8.3,2.0,27.1,.124,-0.3,4.5
8,CLE,Collin Sexton,Alabama,7,407,12157,7658,1144,1505,.470,.387,.838,29.9,18.8,2.8,3.7,15.8,.062,-1.4,1.9
9,NYK,Kevin Knox,Kentucky,7,320,5606,2322,893,233,.393,.340,.723,17.5,7.3,2.8,0.7,0.9,.008,-4.4,-3.4
10,PHI,Mikal Bridges,Villanova,7,556,18514,8204,2207,1517,.484,.371,.843,33.3,14.8,4.0,2.7,42.0,.109,0.7,12.6
11,CHO,Shai Gilgeous-Alexander,Kentucky,7,462,15291,11294,2211,2362,.501,.355,.862,33.1,24.4,4.8,5.1,60.4,.189,5.5,29.1
12,LAC,Miles Bridges,Michigan State,6,424,13070,6642,2627,1135,.462,.340,.826,30.8,15.7,6.2,2.7,21.3,.078,-0.1,6.4
13,LAC,Jerome Robinson,Boston College,4,135,1685,545,214,136,.361,.297,.711,12.5,4.0,1.6,1.0,-0.2,-.004,-4.8,-1.2
14,DEN,Michael Porter Jr.,Missouri,6,345,10036,5597,2209,485,.500,.406,.795,29.1,16.2,6.4,1.4,26.5,.127,0.7,6.8
15,WAS,Troy Brown Jr.,Oregon,6,356,6778,2196,1288,508,.423,.351,.783,19.0,6.2,3.6,1.4,8.6,.061,-1.8,0.4
16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.1
17,MIL,Donte DiVincenzo,Villanova,7,416,10610,4469,1783,1199,.427,.380,.772,25.5,10.7,4.3,2.9,23.9,.108,1.1,8.3
18,SAS,Lonnie Walker IV,Miami (FL),7,342,7025,3418,791,518,.422,.356,.795,20.5,10.0,2.3,1.5,4.9,.033,-2.5,-1.0
19,ATL,Kevin Huerter,Maryland,7,482,13566,5601,1638,1414,.441,.375,.760,28.1,11.6,3.4,2.9,19.1,.068,-1.0,3.6
20,MIN,Josh Okogie,Georgia Tech,7,416,7952,2641,1230,480,.406,.299,.747,19.1,6.3,3.0,1.2,11.6,.070,-1.8,0.4
21,UTA,Grayson Allen,Duke,7,403,10227,4250,1216,812,.451,.414,.857,25.4,10.5,3.0,2.0,22.6,.106,0.0,5.1
